"id"	"text.id"	"subfile.id"	"spk.ref"	"speech.unit.count"	"word.count"
"395"	"S1B-028"	"2"	"A"	4	108
"396"	"S1B-028"	"2"	"B"	21	257
"397"	"S1B-028"	"2"	"C"	15	180
"398"	"S1B-028"	"2"	"Z"	2	0
"399"	"S1B-029"	"1"	"A"	76	1076
"400"	"S1B-029"	"1"	"B"	65	1023
"401"	"S1B-029"	"1"	"Z"	174	1051
"402"	"S1B-029"	"2"	"A"	5	81
"403"	"S1B-029"	"2"	"B"	5	91
"404"	"S1B-030"	"1"	"A"	60	1174
"405"	"S1B-030"	"1"	"B"	41	543
"406"	"S1B-030"	"1"	"C"	48	662
"407"	"S1B-030"	"1"	"Z"	123	706
"408"	"S1B-031"	"1"	"A"	70	1252
"409"	"S1B-031"	"1"	"B"	49	1307
"410"	"S1B-031"	"1"	"Z"	80	447
"411"	"S1B-032"	"1"	"?"	1	1
"412"	"S1B-032"	"1"	"A"	99	1527
"413"	"S1B-032"	"1"	"B"	97	833
"414"	"S1B-032"	"1"	"Z"	118	320
"415"	"S1B-033"	"1"	"A"	50	710
"416"	"S1B-033"	"1"	"B"	53	790
"417"	"S1B-033"	"1"	"C"	48	861
"418"	"S1B-033"	"1"	"Z"	118	499
"419"	"S1B-034"	"1"	"A"	47	1093
"420"	"S1B-034"	"1"	"B"	76	1312
"421"	"S1B-034"	"1"	"Z"	132	478
"422"	"S1B-035"	"1"	"A"	63	1337
"423"	"S1B-035"	"1"	"B"	45	1041
"424"	"S1B-035"	"1"	"Z"	68	490
"425"	"S1B-036"	"1"	"A"	37	1052
"426"	"S1B-036"	"1"	"B"	45	1392
"427"	"S1B-036"	"1"	"Z"	81	501
"428"	"S1B-037"	"1"	"?"	1	2
"429"	"S1B-037"	"1"	"A"	50	1123
"430"	"S1B-037"	"1"	"B"	55	1340
"431"	"S1B-037"	"1"	"Z"	134	702
"432"	"S1B-038"	"1"	"A"	71	815
"433"	"S1B-038"	"1"	"B"	165	1653
"434"	"S1B-038"	"1"	"Z"	126	227
"435"	"S1B-039"	"1"	"A"	61	1596
"436"	"S1B-039"	"1"	"B"	20	751
"437"	"S1B-039"	"1"	"Z"	123	446
"438"	"S1B-040"	"1"	"?"	1	2
"439"	"S1B-040"	"1"	"A"	32	688
"440"	"S1B-040"	"1"	"B"	41	601
"441"	"S1B-040"	"1"	"C"	43	688
"442"	"S1B-040"	"1"	"D"	29	452
"443"	"S1B-040"	"1"	"Z"	39	394
"444"	"S1B-041"	"1"	"A"	54	952
"445"	"S1B-041"	"1"	"B"	67	1363
"446"	"S1B-042"	"1"	"A"	43	731
"447"	"S1B-042"	"1"	"B"	54	1633
"448"	"S1B-043"	"1"	"A"	62	1573
"449"	"S1B-043"	"1"	"B"	18	462
"450"	"S1B-043"	"1"	"Z"	41	520
"451"	"S1B-044"	"1"	"A"	64	1581
"452"	"S1B-044"	"1"	"B"	30	484
"453"	"S1B-044"	"1"	"Z"	21	245
"454"	"S1B-045"	"1"	"A"	85	1510
"455"	"S1B-045"	"1"	"B"	29	312
"456"	"S1B-045"	"1"	"Z"	15	88
"457"	"S1B-046"	"1"	"A"	97	2263
"458"	"S1B-046"	"1"	"Z"	135	526
"459"	"S1B-047"	"1"	"A"	171	2440
"460"	"S1B-047"	"1"	"Z"	143	692
"461"	"S1B-048"	"1"	"A"	66	1162
"462"	"S1B-048"	"1"	"B"	28	571
"463"	"S1B-048"	"1"	"Z"	14	127
"464"	"S1B-048"	"2"	"A"	22	527
"465"	"S1B-048"	"2"	"Z"	25	28
"466"	"S1B-049"	"1"	"A"	65	908
"467"	"S1B-049"	"1"	"Z"	38	163
"468"	"S1B-049"	"2"	"A"	53	636
"469"	"S1B-049"	"2"	"B"	73	1058
"470"	"S1B-049"	"2"	"Z"	44	464
"471"	"S1B-050"	"1"	"A"	63	784
"472"	"S1B-050"	"1"	"B"	18	254
"473"	"S1B-050"	"1"	"Z"	11	109
"474"	"S1B-050"	"2"	"A"	61	1283
"475"	"S1B-050"	"2"	"Z"	34	255
"476"	"S1B-051"	"1"	"A"	48	779
"477"	"S1B-051"	"1"	"B"	25	548
"478"	"S1B-051"	"1"	"C"	16	358
"479"	"S1B-051"	"1"	"D"	9	355
"480"	"S1B-051"	"1"	"E"	24	366
"481"	"S1B-051"	"1"	"F"	15	256
"482"	"S1B-051"	"1"	"Z"	39	155
"483"	"S1B-052"	"1"	"A"	2	51
"484"	"S1B-052"	"1"	"B"	4	44
"485"	"S1B-052"	"1"	"C"	4	50
"486"	"S1B-052"	"1"	"D"	3	80
"487"	"S1B-052"	"1"	"E"	13	153
"488"	"S1B-052"	"1"	"F"	113	2118
"489"	"S1B-052"	"1"	"Z"	8	16
"490"	"S1B-053"	"1"	"A"	48	1150
"491"	"S1B-053"	"1"	"B"	3	28
"492"	"S1B-053"	"1"	"C"	78	944
"493"	"S1B-054"	"1"	"A"	34	339
"494"	"S1B-054"	"1"	"B"	12	373
"495"	"S1B-054"	"1"	"C"	73	1559
"496"	"S1B-054"	"1"	"Z"	19	400
"497"	"S1B-055"	"1"	"A"	5	181
"498"	"S1B-055"	"1"	"B"	1	35
"499"	"S1B-055"	"1"	"C"	1	82
"500"	"S1B-055"	"1"	"D"	2	137
"501"	"S1B-055"	"1"	"E"	6	70
"502"	"S1B-055"	"1"	"F"	4	144
"503"	"S1B-055"	"1"	"G"	23	613
"504"	"S1B-055"	"1"	"H"	3	117
"505"	"S1B-055"	"1"	"I"	3	91
"506"	"S1B-055"	"1"	"J"	1	51
"507"	"S1B-055"	"1"	"K"	4	77
"508"	"S1B-055"	"1"	"L"	31	691
"509"	"S1B-056"	"1"	"A"	87	1666
"510"	"S1B-056"	"1"	"B"	20	487
"511"	"S1B-057"	"1"	"A"	14	377
"512"	"S1B-057"	"1"	"B"	55	1290
"513"	"S1B-057"	"1"	"C"	31	662
"514"	"S1B-058"	"1"	"A"	1	24
"515"	"S1B-058"	"1"	"B"	4	124
"516"	"S1B-058"	"1"	"C"	4	91
"517"	"S1B-058"	"1"	"D"	3	88
"518"	"S1B-058"	"1"	"E"	3	87
"519"	"S1B-058"	"1"	"F"	1	79
"520"	"S1B-058"	"1"	"G"	6	70
"521"	"S1B-058"	"1"	"H"	6	169
"522"	"S1B-058"	"1"	"I"	39	836
"523"	"S1B-058"	"1"	"J"	39	820
"524"	"S1B-058"	"1"	"K"	5	121
"525"	"S1B-059"	"1"	"A"	36	805
"526"	"S1B-059"	"1"	"B"	7	248
"527"	"S1B-059"	"1"	"C"	23	601
"528"	"S1B-059"	"1"	"D"	4	101
"529"	"S1B-059"	"1"	"E"	5	166
"530"	"S1B-059"	"1"	"F"	4	216
"531"	"S1B-059"	"1"	"G"	10	248
"532"	"S1B-059"	"1"	"Z"	1	0
"533"	"S1B-060"	"1"	"A"	58	1326
"534"	"S1B-060"	"2"	"A"	58	1326
"535"	"S1B-061"	"1"	"A"	263	2638
"536"	"S1B-061"	"1"	"Z"	451	486
"537"	"S1B-062"	"1"	"A"	258	3129
