"id"	"orig.id"	"file.speaker.id"	"text.id"	"subfile.id"	"spk.ref"	"your.id"	"text.category"	"recording.date"	"recording.place"	"organizing.body"	"first.name"	"last.name"	"gender"	"age"	"nationality"	"mother.tongue"	"occupation"	"educational.level"	"copyright.statement"	"speech.unit.count"	"word.count"
29	29	"<S1A-011#1:A>"	"S1A-011"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"27-10-1991"	"dlsu library"	NA	"yogie"	"alcantara"	"male"	"16-20"	"filipino"	NA	"student"	"undergrad"	"reproduced by permission. all rights reserved."	127	1762
30	30	"<S1A-011#1:B>"	"S1A-011"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"27-10-1991"	"dlsu library"	NA	"ali"	"robleza"	"female"	"16-20"	"filipino"	NA	"student"	"undergrad"	"reproduced by permission. all rights reserved."	50	202
31	31	"<S1A-012#?>"	"S1A-012"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3
32	32	"<S1A-012#1:A>"	"S1A-012"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"11-02-2000"	"de la salle university"	NA	"denise"	"la o'"	"female"	"16-20"	"filipino"	"tagalog"	"student"	"undergrad"	"reproduced by permission. all rights reserved."	74	908
33	33	"<S1A-012#1:B>"	"S1A-012"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"11-02-2000"	"de la salle university"	NA	"candice"	"grey"	"female"	"16-20"	"filipino"	"english"	"student"	"undergrad"	"reproduced by permission. all rights reserved."	69	591
34	34	"<S1A-012#1:C>"	"S1A-012"	"1"	"C"	"nps"	"spoken:dialogue:private:direct conversation"	"11-02-2000"	"de la salle university"	NA	"kathleen"	"betita"	"female"	"16-20"	"filipino"	"tagalog"	"student"	"undergrad"	"reproduced by permission. all rights reserved."	69	725
35	35	"<S1A-013#?>"	"S1A-013"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	49
36	36	"<S1A-013#1:A>"	"S1A-013"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"01-04-2000"	"de la salle university"	NA	"mary jacqueline"	"yarcia"	"female"	"16-20"	"filipino"	"tagalog"	"student"	"undergrad"	"reproduced by permission. all rights reserved."	172	1108
37	37	"<S1A-013#1:B>"	"S1A-013"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"01-04-2000"	"de la salle university"	NA	"cristine"	"sy"	"female"	"16-20"	"filipino"	"tagalog"	"student"	"undergrad"	"reproduced by permission. all rights reserved."	149	940
38	38	"<S1A-014#1:A>"	"S1A-014"	"1"	"A"	"mlb"	"spoken:dialogue:private:direct conversation"	"21-07-2002"	"residence"	NA	"tiffany"	"cabana"	"female"	NA	"filipino"	NA	""	NA	"reproduced by permission. all rights reserved."	214	693
39	39	"<S1A-014#1:B>"	"S1A-014"	"1"	"B"	"mlb"	"spoken:dialogue:private:direct conversation"	"21-07-2002"	"residence"	NA	"ben-hur"	"cabana"	"male"	NA	"filipino"	NA	""	NA	"reproduced by permission. all rights reserved."	196	1665
40	40	"<S1A-014#1:Z>"	"S1A-014"	"1"	"Z"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1
